Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
51,5,3,13869,1,1,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,1,11,13,2,0.0,3,3,2,2,3,0,2,182,5,0,612,794,0,2,1,4,794,676,0,1470,0,1,2,0,3,1,3,6,6,0,1,1997.0,0,2,388,4,4,2,0,75,0,0,0,0,0,7,2007,8,4,177000
52,4,4,6240,1,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,1,12,14,2,0.0,3,3,2,3,3,3,5,0,5,0,816,816,0,4,1,4,816,0,360,1176,0,0,1,0,3,1,3,6,6,1,5,1985.0,2,2,528,4,4,2,112,0,0,0,0,0,400,9,2006,8,4,114500
53,10,4,8472,0,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,12,14,2,0.0,1,3,1,2,3,1,3,104,2,712,0,816,0,4,0,4,816,0,0,816,1,0,1,0,2,1,3,5,6,0,4,1963.0,2,2,516,4,4,2,106,0,0,0,0,0,0,5,2010,8,4,110000
54,0,3,50271,1,0,2,0,4,0,24,2,2,0,2,9,5,1981,1987,1,7,13,15,2,0.0,2,3,1,0,3,1,2,1810,5,0,32,1842,0,2,1,4,1842,0,0,1842,2,0,0,1,0,1,2,5,6,1,1,1981.0,0,3,894,4,4,2,857,72,0,0,0,0,0,11,2006,8,4,385000
55,8,3,7134,1,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,7,8,2,0.0,3,3,1,3,3,3,0,384,5,0,0,384,0,4,1,4,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,5,1962.0,2,2,572,4,4,2,0,50,0,0,0,0,0,2,2007,8,4,130000
56,0,3,10175,1,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,1,5,10,1,272.0,3,3,1,3,3,3,1,490,5,0,935,1425,0,2,1,4,1425,0,0,1425,0,0,2,0,3,1,3,7,6,1,1,1964.0,1,2,576,4,4,2,0,0,0,407,0,0,0,7,2008,8,4,180500
57,12,1,2645,1,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,1,7,8,1,456.0,2,3,2,2,3,3,2,649,5,0,321,970,0,0,1,4,983,756,0,1739,1,0,2,1,3,1,2,7,6,0,1,1999.0,0,2,480,4,4,2,115,0,0,0,0,0,0,8,2009,8,0,172500
58,5,3,11645,1,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,11,13,2,0.0,2,3,2,2,3,3,5,0,5,0,860,860,0,0,1,4,860,860,0,1720,0,0,2,1,3,1,2,7,6,0,1,2004.0,1,2,565,4,4,2,0,70,0,0,0,0,0,8,2006,8,4,196500
59,5,3,13682,1,1,1,0,1,0,22,2,2,0,5,10,5,2006,2006,3,1,11,13,1,1031.0,0,3,2,0,3,1,5,0,5,0,1410,1410,0,0,1,4,1426,1519,0,2945,0,0,3,1,3,1,2,10,6,1,3,2006.0,0,3,641,4,4,2,192,0,37,0,0,0,0,10,2006,6,5,438780
60,0,3,7200,1,3,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,5,6,2,0.0,3,3,1,3,3,0,0,632,5,0,148,780,0,0,1,4,780,0,0,780,0,0,1,0,2,1,3,4,6,0,5,1973.0,2,1,352,4,4,2,196,0,0,0,0,0,0,1,2008,8,4,124900
61,0,3,13072,1,3,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,1,11,13,2,0.0,3,3,2,2,3,3,0,941,5,0,217,1158,0,0,1,4,1158,0,0,1158,1,0,1,1,3,1,2,5,6,0,5,2006.0,2,2,576,4,4,2,0,50,0,0,0,0,0,5,2006,6,5,158000
62,7,4,7200,1,3,3,0,4,0,9,2,2,0,4,5,7,1920,1996,1,1,7,8,2,0.0,3,3,0,3,0,3,5,0,5,0,530,530,0,4,0,4,581,530,0,1111,0,0,1,0,3,1,1,6,6,0,5,1935.0,2,1,288,4,4,0,0,0,144,0,0,0,0,3,2007,8,4,101000
63,11,3,6442,1,0,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,1,11,13,3,178.0,2,3,2,2,1,2,2,24,5,0,1346,1370,0,0,1,4,1370,0,0,1370,0,0,2,0,2,1,2,6,6,1,1,2006.0,1,2,484,4,4,2,120,49,0,0,0,0,0,10,2007,8,4,202500
64,6,4,10300,1,0,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,1,10,12,2,0.0,3,3,0,3,3,3,5,0,5,0,576,576,0,2,1,4,902,808,0,1710,0,0,2,0,3,1,3,9,6,0,5,1990.0,2,2,480,4,4,2,12,11,64,0,0,0,0,4,2010,8,4,140000
65,5,3,9375,1,3,3,0,4,0,5,2,2,0,5,7,5,1997,1998,1,1,11,13,1,573.0,3,3,2,2,3,3,2,739,5,0,318,1057,0,0,1,4,1057,977,0,2034,1,0,2,1,3,1,2,8,6,0,1,1998.0,1,2,645,4,4,2,576,36,0,0,0,0,0,2,2009,8,4,219500
66,5,3,9591,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,11,13,1,344.0,2,3,2,0,3,0,5,0,5,0,1143,1143,0,0,1,4,1143,1330,0,2473,0,0,2,1,4,1,2,9,6,1,3,2004.0,1,3,852,4,4,2,192,151,0,0,0,0,0,10,2007,8,4,317000
67,0,3,19900,1,3,3,0,4,0,12,3,2,0,2,7,5,1970,1989,1,1,8,10,1,287.0,3,3,1,2,3,1,2,912,5,0,1035,1947,0,4,1,4,2207,0,0,2207,1,0,2,0,3,1,3,7,2,1,1,1970.0,1,2,576,4,4,2,301,0,0,0,0,0,0,7,2010,8,4,180000
68,0,3,10665,1,0,3,0,4,0,5,2,2,0,2,7,5,2003,2003,1,1,11,13,1,167.0,2,3,2,2,3,0,2,1013,5,0,440,1453,0,0,1,4,1479,0,0,1479,1,0,2,0,3,1,2,7,6,0,1,2003.0,1,2,558,4,4,2,144,29,0,0,0,0,0,6,2007,8,4,226000
69,1,4,4608,1,3,3,0,0,0,17,0,2,0,2,4,6,1945,1950,1,1,7,8,2,0.0,3,2,1,3,3,3,5,0,5,0,747,747,0,4,1,4,747,0,0,747,0,0,1,0,2,1,3,4,6,0,1,1945.0,2,1,220,4,4,2,0,0,0,0,0,0,0,6,2010,8,4,80000
70,4,3,15593,1,3,3,0,0,0,4,2,2,0,0,7,4,1953,1953,1,1,2,0,2,0.0,2,3,1,3,3,3,1,603,5,0,701,1304,1,4,1,4,1304,983,0,2287,0,0,2,0,3,1,3,7,6,1,1,1953.0,0,2,667,4,4,2,0,21,114,0,0,0,0,7,2006,8,4,225000
71,0,3,13651,1,0,3,0,4,0,12,2,2,0,2,7,6,1973,1973,1,1,8,10,1,1115.0,3,2,1,2,3,1,0,1880,5,0,343,2223,0,0,1,4,2223,0,0,2223,1,0,2,0,3,1,3,8,6,2,1,1973.0,0,2,516,4,4,2,300,0,0,0,0,0,0,2,2007,8,4,244000
72,0,3,7599,1,3,3,0,0,0,11,2,2,0,2,4,6,1982,2006,1,1,5,10,2,0.0,3,3,1,3,3,3,0,565,5,0,280,845,0,4,1,4,845,0,0,845,1,0,1,0,2,1,3,4,6,0,5,1987.0,2,2,360,4,4,2,0,0,0,0,0,0,0,6,2007,8,4,129500
73,5,3,10141,1,0,3,0,0,0,8,2,2,0,5,7,5,1998,1998,1,1,11,13,1,40.0,3,3,2,2,3,3,5,0,5,0,832,832,0,2,1,4,885,833,0,1718,0,0,2,1,3,1,3,7,6,1,1,1998.0,0,2,427,4,4,2,0,94,0,0,291,0,0,12,2009,8,4,185000
74,0,3,10200,1,3,3,0,4,0,12,2,2,0,2,5,7,1954,2003,1,1,12,14,1,104.0,3,3,1,3,3,3,0,320,1,362,404,1086,0,2,1,4,1086,0,0,1086,1,0,1,0,3,1,3,6,6,0,1,1989.0,2,2,490,4,4,2,0,0,0,0,0,0,0,5,2010,8,4,144900
75,4,4,5790,1,3,3,0,0,0,17,2,2,0,5,3,6,1915,1950,2,1,11,13,2,0.0,2,2,1,1,3,3,5,0,5,0,840,840,0,2,0,4,840,765,0,1605,0,0,2,0,3,2,3,8,6,0,5,1915.0,2,1,379,4,4,2,0,0,202,0,0,0,0,5,2010,8,4,107400
76,13,4,1596,1,3,3,0,4,0,10,2,2,3,7,4,5,1973,1973,1,1,4,5,2,0.0,3,3,1,2,3,1,2,462,5,0,0,462,0,4,1,4,526,462,0,988,1,0,1,0,2,1,3,5,6,0,3,1973.0,2,1,297,4,4,2,120,101,0,0,0,0,0,11,2009,8,4,91000
77,0,3,8475,1,0,3,0,4,0,12,2,2,0,2,4,7,1956,1956,1,1,11,13,2,0.0,3,3,1,3,3,3,0,228,5,0,724,952,0,0,1,0,952,0,0,952,0,0,1,0,2,1,3,4,6,0,5,1956.0,2,1,283,4,4,2,0,0,0,0,0,0,0,4,2008,8,4,135750
78,4,4,8635,1,3,3,0,4,0,3,2,2,0,0,5,5,1948,2001,1,1,12,14,2,0.0,3,3,1,3,3,3,1,336,2,41,295,672,0,4,1,4,1072,213,0,1285,1,0,1,0,2,1,3,6,2,0,5,1948.0,2,1,240,4,4,2,0,0,0,0,0,0,0,1,2008,8,4,127000
80,4,4,10440,1,3,3,0,0,0,17,2,2,0,5,5,6,1910,1981,1,1,12,14,2,0.0,3,3,2,3,3,3,5,0,5,0,440,440,0,2,1,4,682,548,0,1230,0,0,1,1,2,1,3,5,6,0,5,1966.0,2,2,440,4,4,2,74,0,128,0,0,0,0,5,2009,8,4,110000
81,5,3,13000,1,3,3,0,0,0,12,2,2,0,5,6,6,1968,1968,1,1,11,13,1,576.0,3,2,1,2,3,3,4,448,5,0,448,896,0,4,1,4,1182,960,0,2142,0,0,2,1,4,1,2,8,6,1,1,1968.0,0,1,509,4,4,2,0,72,0,0,252,0,0,6,2009,8,4,193500
82,11,4,4500,1,3,3,0,2,0,11,2,2,4,2,6,5,1998,1998,3,1,11,13,1,443.0,3,2,2,0,1,3,2,1201,5,0,36,1237,0,0,1,4,1337,0,0,1337,1,0,2,0,2,1,3,5,6,0,1,1998.0,0,2,405,4,4,2,0,199,0,0,0,0,0,3,2006,8,4,153500
83,0,3,10206,1,3,3,0,4,0,21,2,2,0,2,8,5,2007,2007,1,1,11,13,3,468.0,3,3,2,2,3,3,2,33,5,0,1530,1563,0,0,1,4,1563,0,0,1563,0,0,2,0,3,1,2,6,6,1,1,2007.0,1,3,758,4,4,2,144,99,0,0,0,0,0,10,2008,8,4,245000
