Id,MSSubClass,MSZoning,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,SaleType,SaleCondition,SalePrice
31,70,C (all),Reg,Lvl,Inside,Gtl,IDOTRR,2Story,4,1920,1950,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,649,TA,N,SBrkr,649,668,1317,0,1,0,3,TA,6,0,Detchd,1920.0,Unf,1,TA,N,0,54,WD,Normal,40000
32,20,RL,IR1,Lvl,CulDSac,Gtl,Sawyer,1Story,5,1966,2006,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1228,Gd,Y,SBrkr,1228,0,1228,0,1,1,3,Gd,6,0,Attchd,1966.0,Unf,1,TA,Y,0,65,WD,Normal,149350
33,20,RL,Reg,Lvl,Corner,Gtl,CollgCr,1Story,8,2007,2007,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1234,Ex,Y,SBrkr,1234,0,1234,0,2,0,3,Gd,7,0,Attchd,2007.0,RFn,2,TA,Y,0,30,WD,Normal,179900
34,20,RL,IR1,Lvl,Inside,Gtl,NAmes,1Story,5,1959,1959,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1398,Gd,Y,SBrkr,1700,0,1700,0,1,1,4,Gd,6,1,Attchd,1959.0,RFn,2,TA,Y,0,38,WD,Normal,165500
35,120,RL,Reg,Lvl,Inside,Gtl,NridgHt,1Story,9,2005,2005,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1561,Ex,Y,SBrkr,1561,0,1561,1,2,0,2,Ex,6,1,Attchd,2005.0,Fin,2,TA,Y,203,47,WD,Normal,277500
36,60,RL,Reg,Lvl,Inside,Gtl,NridgHt,2Story,8,2004,2005,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1117,Ex,Y,SBrkr,1132,1320,2452,0,3,1,4,Gd,9,1,BuiltIn,2004.0,Fin,3,TA,Y,113,32,WD,Normal,309000
37,20,RL,Reg,Lvl,Corner,Gtl,CollgCr,1Story,5,1994,1995,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1097,Ex,Y,SBrkr,1097,0,1097,0,1,1,3,TA,6,0,Attchd,1995.0,Unf,2,TA,Y,392,64,WD,Normal,145000
38,20,RL,Reg,Lvl,Inside,Gtl,NAmes,1Story,5,1954,1990,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1297,Gd,Y,SBrkr,1297,0,1297,0,1,0,3,TA,5,1,Attchd,1954.0,Fin,2,TA,Y,0,0,WD,Normal,153000
39,20,RL,Reg,Lvl,Inside,Gtl,NAmes,1Story,5,1953,2007,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,1057,TA,Y,SBrkr,1057,0,1057,1,1,0,3,Gd,5,0,Detchd,1953.0,Unf,1,TA,Y,0,52,WD,Abnorml,109000
40,90,RL,Reg,Lvl,Inside,Gtl,Edwards,1Story,4,1955,1955,AsbShng,None,0.0,TA,TA,PConc,,,,,,0,TA,N,FuseP,1152,0,1152,0,2,0,2,Fa,6,0,,,,0,,N,0,0,WD,AdjLand,82000
41,20,RL,Reg,Lvl,Inside,Gtl,NAmes,1Story,6,1965,1965,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1088,Ex,Y,SBrkr,1324,0,1324,0,2,0,3,TA,6,1,Attchd,1965.0,RFn,2,TA,Y,0,138,WD,Abnorml,160000
42,20,RL,Reg,Lvl,Inside,Gtl,Timber,1Story,5,1959,1959,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,1350,Gd,Y,SBrkr,1328,0,1328,0,1,1,2,TA,5,2,Attchd,1959.0,RFn,1,TA,P,0,104,WD,Normal,170000
43,85,RL,IR1,Lvl,CulDSac,Gtl,SawyerW,SFoyer,5,1983,1983,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,840,Gd,Y,SBrkr,884,0,884,1,1,0,2,Gd,5,0,Attchd,1983.0,RFn,2,TA,Y,240,0,WD,Normal,144000
44,20,RL,IR1,Lvl,CulDSac,Gtl,CollgCr,1Story,5,1975,1980,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,938,TA,Y,SBrkr,938,0,938,1,1,0,3,TA,5,0,Detchd,1977.0,Unf,1,TA,Y,145,0,WD,Normal,130250
45,20,RL,Reg,Lvl,Inside,Gtl,NAmes,1Story,5,1959,1959,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,1150,Ex,Y,FuseA,1150,0,1150,1,1,0,3,TA,6,0,Attchd,1959.0,RFn,1,TA,Y,0,0,WD,Normal,141000
46,120,RL,Reg,Lvl,Inside,Gtl,NridgHt,1Story,9,2005,2005,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1752,Ex,Y,SBrkr,1752,0,1752,1,2,0,2,Ex,6,1,Attchd,2005.0,RFn,2,TA,Y,196,82,WD,Normal,319900
47,50,RL,IR1,Lvl,CulDSac,Gtl,Mitchel,1.5Fin,7,2003,2003,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1434,Ex,Y,SBrkr,1518,631,2149,1,1,1,1,Gd,6,1,Attchd,2003.0,RFn,2,TA,Y,168,43,WD,Abnorml,239686
48,20,FV,Reg,Lvl,Inside,Gtl,Somerst,1Story,8,2006,2006,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1656,Ex,Y,SBrkr,1656,0,1656,0,2,0,3,Gd,7,0,Attchd,2006.0,RFn,3,TA,Y,0,146,WD,Normal,249700
49,190,RM,Reg,Lvl,Inside,Gtl,OldTown,2Story,4,1920,2008,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,736,Gd,Y,SBrkr,736,716,1452,0,2,0,2,TA,8,0,,,,0,,N,0,0,New,Partial,113000
50,20,RL,Reg,Lvl,Inside,Gtl,Sawyer,1Story,5,1966,1966,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,955,Ex,Y,SBrkr,955,0,955,1,1,0,3,TA,6,0,Attchd,1966.0,Unf,1,TA,Y,0,0,WD,Normal,127000
51,60,RL,IR2,Lvl,Corner,Gtl,Gilbert,2Story,6,1997,1997,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,794,Gd,Y,SBrkr,794,676,1470,0,2,0,3,TA,6,0,Attchd,1997.0,Fin,2,TA,Y,0,75,WD,Normal,177000
52,50,RM,Reg,Lvl,Inside,Gtl,BrkSide,1.5Fin,6,1934,1950,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,816,TA,Y,SBrkr,816,0,1176,0,1,0,3,TA,6,1,Detchd,1985.0,Unf,2,TA,Y,112,0,WD,Normal,114500
53,90,RM,IR2,Bnk,Corner,Mod,IDOTRR,1Story,5,1963,1963,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,816,TA,N,SBrkr,816,0,816,1,1,0,2,TA,5,0,CarPort,1963.0,Unf,2,TA,Y,106,0,WD,Normal,110000
54,20,RL,IR1,Low,Inside,Gtl,Veenker,1Story,9,1981,1987,WdShing,None,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,1842,Gd,Y,SBrkr,1842,0,1842,2,0,1,0,Gd,5,1,Attchd,1981.0,Fin,3,TA,Y,857,72,WD,Normal,385000
55,80,RL,Reg,Bnk,Inside,Mod,NAmes,SLvl,5,1955,1955,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,384,TA,Y,SBrkr,1360,0,1360,0,1,0,3,TA,6,1,Detchd,1962.0,Unf,2,TA,Y,0,50,WD,Normal,130000
56,20,RL,IR1,Lvl,Inside,Gtl,NAmes,1Story,6,1964,1964,HdBoard,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,1425,Gd,Y,SBrkr,1425,0,1425,0,2,0,3,TA,7,1,Attchd,1964.0,RFn,2,TA,Y,0,0,WD,Normal,180500
57,160,FV,Reg,Lvl,Inside,Gtl,Somerst,2Story,8,1999,2000,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,970,Ex,Y,SBrkr,983,756,1739,1,2,1,3,Gd,7,0,Attchd,1999.0,Fin,2,TA,Y,115,0,WD,Abnorml,172500
58,60,RL,IR1,Lvl,Corner,Gtl,CollgCr,2Story,7,2004,2004,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,860,Ex,Y,SBrkr,860,860,1720,0,2,1,3,Gd,7,0,Attchd,2004.0,RFn,2,TA,Y,0,70,WD,Normal,196500
59,60,RL,IR2,HLS,CulDSac,Gtl,StoneBr,2Story,10,2006,2006,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,Unf,1410,Ex,Y,SBrkr,1426,1519,2945,0,3,1,3,Gd,10,1,BuiltIn,2006.0,Fin,3,TA,Y,192,0,New,Partial,438780
60,20,RL,Reg,Bnk,Inside,Gtl,CollgCr,1Story,5,1972,1972,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,780,Ex,Y,SBrkr,780,0,780,0,1,0,2,TA,4,0,Detchd,1973.0,Unf,1,TA,Y,196,0,WD,Normal,124900
61,20,RL,Reg,Lvl,Inside,Gtl,SawyerW,1Story,6,2004,2004,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,Unf,1158,Ex,Y,SBrkr,1158,0,1158,1,1,1,3,Gd,5,0,Detchd,2006.0,Unf,2,TA,Y,0,50,New,Partial,158000
62,75,RM,Reg,Lvl,Inside,Gtl,IDOTRR,2.5Unf,5,1920,1996,MetalSd,None,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,Unf,530,TA,N,SBrkr,581,530,1111,0,1,0,3,Fa,6,0,Detchd,1935.0,Unf,1,TA,N,0,0,WD,Normal,101000
63,120,RL,IR1,Lvl,Inside,Gtl,NridgHt,1Story,8,2006,2006,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,Gd,Mn,GLQ,Unf,1370,Ex,Y,SBrkr,1370,0,1370,0,2,0,2,Gd,6,1,Attchd,2006.0,RFn,2,TA,Y,120,49,WD,Normal,202500
64,70,RM,IR1,Bnk,Inside,Gtl,OldTown,2Story,7,1921,1950,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,576,Gd,Y,SBrkr,902,808,1710,0,2,0,3,TA,9,0,Detchd,1990.0,Unf,2,TA,Y,12,11,WD,Normal,140000
65,60,RL,Reg,Lvl,Inside,Gtl,CollgCr,2Story,7,1997,1998,VinylSd,BrkFace,573.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,1057,Ex,Y,SBrkr,1057,977,2034,1,2,1,3,Gd,8,0,Attchd,1998.0,RFn,2,TA,Y,576,36,WD,Normal,219500
66,60,RL,Reg,Lvl,Inside,Gtl,NridgHt,2Story,8,2004,2005,VinylSd,BrkFace,344.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1143,Ex,Y,SBrkr,1143,1330,2473,0,2,1,4,Gd,9,1,BuiltIn,2004.0,RFn,3,TA,Y,192,151,WD,Normal,317000
67,20,RL,Reg,Lvl,Inside,Gtl,NAmes,1Story,7,1970,1989,Plywood,BrkFace,287.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,Unf,1947,TA,Y,SBrkr,2207,0,2207,1,2,0,3,TA,7,1,Attchd,1970.0,RFn,2,TA,Y,301,0,WD,Normal,180000
68,20,RL,IR1,Lvl,Inside,Gtl,CollgCr,1Story,7,2003,2003,VinylSd,BrkFace,167.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1453,Ex,Y,SBrkr,1479,0,1479,1,2,0,3,Gd,7,0,Attchd,2003.0,RFn,2,TA,Y,144,29,WD,Normal,226000
69,30,RM,Reg,Lvl,Corner,Gtl,OldTown,1Story,4,1945,1950,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,Unf,747,TA,Y,SBrkr,747,0,747,0,1,0,2,TA,4,0,Attchd,1945.0,Unf,1,TA,Y,0,0,WD,Normal,80000
70,50,RL,Reg,Lvl,Corner,Gtl,ClearCr,1.5Fin,7,1953,1953,BrkFace,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,Unf,1304,TA,Y,SBrkr,1304,983,2287,0,2,0,3,TA,7,1,Attchd,1953.0,Fin,2,TA,Y,0,21,WD,Normal,225000
71,20,RL,IR1,Lvl,Inside,Gtl,NAmes,1Story,7,1973,1973,Plywood,BrkFace,1115.0,TA,Gd,CBlock,Gd,TA,Gd,ALQ,Unf,2223,Ex,Y,SBrkr,2223,0,2223,1,2,0,3,TA,8,2,Attchd,1973.0,Fin,2,TA,Y,300,0,WD,Normal,244000
72,20,RL,Reg,Lvl,Corner,Gtl,Mitchel,1Story,4,1982,2006,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,845,TA,Y,SBrkr,845,0,845,1,1,0,2,TA,4,0,Detchd,1987.0,Unf,2,TA,Y,0,0,WD,Normal,129500
73,60,RL,IR1,Lvl,Corner,Gtl,Gilbert,2Story,7,1998,1998,VinylSd,BrkFace,40.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,832,Gd,Y,SBrkr,885,833,1718,0,2,1,3,TA,7,1,Attchd,1998.0,Fin,2,TA,Y,0,94,WD,Normal,185000
74,20,RL,Reg,Lvl,Inside,Gtl,NAmes,1Story,5,1954,2003,Wd Sdng,BrkFace,104.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,1086,Gd,Y,SBrkr,1086,0,1086,1,1,0,3,TA,6,0,Attchd,1989.0,Unf,2,TA,Y,0,0,WD,Normal,144900
75,50,RM,Reg,Lvl,Corner,Gtl,OldTown,2Story,3,1915,1950,VinylSd,None,0.0,Gd,Gd,CBlock,Fa,TA,No,Unf,Unf,840,Gd,N,SBrkr,840,765,1605,0,2,0,3,TA,8,0,Detchd,1915.0,Unf,1,TA,Y,0,0,WD,Normal,107400
76,180,RM,Reg,Lvl,Inside,Gtl,MeadowV,SLvl,4,1973,1973,CemntBd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,Unf,462,TA,Y,SBrkr,526,462,988,1,1,0,2,TA,5,0,BuiltIn,1973.0,Unf,1,TA,Y,120,101,WD,Normal,91000
77,20,RL,IR1,Lvl,Inside,Gtl,NAmes,1Story,4,1956,1956,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,952,Ex,Y,FuseA,952,0,952,0,1,0,2,TA,4,0,Detchd,1956.0,Unf,1,TA,Y,0,0,WD,Normal,135750
78,50,RM,Reg,Lvl,Inside,Gtl,BrkSide,1.5Fin,5,1948,2001,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,GLQ,672,TA,Y,SBrkr,1072,213,1285,1,1,0,2,TA,6,0,Detchd,1948.0,Unf,1,TA,Y,0,0,WD,Normal,127000
79,90,RL,Reg,Lvl,Inside,Gtl,Sawyer,1Story,4,1968,1968,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1768,TA,N,SBrkr,1768,0,1768,0,2,0,4,TA,8,0,,,,0,,Y,0,0,WD,Normal,136500
80,50,RM,Reg,Lvl,Corner,Gtl,OldTown,2Story,5,1910,1981,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,440,Gd,Y,SBrkr,682,548,1230,0,1,1,2,TA,5,0,Detchd,1966.0,Unf,2,TA,Y,74,0,WD,Normal,110000
81,60,RL,Reg,Lvl,Corner,Gtl,NAmes,2Story,6,1968,1968,VinylSd,BrkFace,576.0,TA,Gd,CBlock,Gd,TA,No,Rec,Unf,896,TA,Y,SBrkr,1182,960,2142,0,2,1,4,Gd,8,1,Attchd,1968.0,Fin,1,TA,Y,0,72,WD,Normal,193500
82,120,RM,Reg,Lvl,FR2,Gtl,Mitchel,1Story,6,1998,1998,VinylSd,BrkFace,443.0,TA,Gd,PConc,Ex,Gd,No,GLQ,Unf,1237,Ex,Y,SBrkr,1337,0,1337,1,2,0,2,TA,5,0,Attchd,1998.0,Fin,2,TA,Y,0,199,WD,Normal,153500
83,20,RL,Reg,Lvl,Inside,Gtl,Somerst,1Story,8,2007,2007,VinylSd,Stone,468.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,1563,Ex,Y,SBrkr,1563,0,1563,0,2,0,3,Gd,6,1,Attchd,2007.0,RFn,3,TA,Y,144,99,WD,Normal,245000
