Id,MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,20,RL,7560,Reg,Lvl,Inside,Gtl,NAmes,1Story,5,6,1958,1965,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,0,Attchd,1958.0,Unf,1,294,TA,Y,0,0,0,0,0,0,0,5,2009,COD,Abnorml,139000
21,60,RL,14215,IR1,Lvl,Corner,Gtl,NridgHt,2Story,8,5,2005,2006,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,1,BuiltIn,2005.0,RFn,3,853,TA,Y,240,154,0,0,0,0,0,11,2006,New,Partial,325300
22,45,RM,7449,Reg,Bnk,Inside,Gtl,IDOTRR,1.5Unf,7,7,1930,1950,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,1,Attchd,1930.0,Unf,1,280,TA,N,0,0,205,0,0,0,0,6,2007,WD,Normal,139400
23,20,RL,9742,Reg,Lvl,Inside,Gtl,CollgCr,1Story,8,5,2002,2002,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,1,Attchd,2002.0,RFn,2,534,TA,Y,171,159,0,0,0,0,0,9,2008,WD,Normal,230000
24,120,RM,4224,Reg,Lvl,Inside,Gtl,MeadowV,1Story,5,7,1976,1976,CemntBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,1,Attchd,1976.0,Unf,2,572,TA,Y,100,110,0,0,0,0,0,6,2007,WD,Normal,129900
25,20,RL,8246,IR1,Lvl,Inside,Gtl,Sawyer,1Story,5,8,1968,2001,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,1,Attchd,1968.0,Unf,1,270,TA,Y,406,90,0,0,0,0,0,5,2010,WD,Normal,154000
26,20,RL,14230,Reg,Lvl,Corner,Gtl,NridgHt,1Story,8,5,2007,2007,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,1,Attchd,2007.0,RFn,3,890,TA,Y,0,56,0,0,0,0,0,7,2009,WD,Normal,256300
27,20,RL,7200,Reg,Lvl,Corner,Gtl,NAmes,1Story,5,7,1951,2000,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,0,Detchd,2005.0,Unf,2,576,TA,Y,222,32,0,0,0,0,0,5,2010,WD,Normal,134800
28,20,RL,11478,Reg,Lvl,Inside,Gtl,NridgHt,1Story,8,5,2007,2008,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,1,Attchd,2008.0,RFn,3,772,TA,Y,0,50,0,0,0,0,0,5,2010,WD,Normal,306000
29,20,RL,16321,IR1,Lvl,CulDSac,Gtl,NAmes,1Story,5,6,1957,1997,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,2,Attchd,1957.0,RFn,1,319,TA,Y,288,258,0,0,0,0,0,12,2006,WD,Normal,207500
30,30,RM,6324,IR1,Lvl,Inside,Gtl,BrkSide,1Story,4,6,1927,1950,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,0,Detchd,1920.0,Unf,1,240,Fa,Y,49,0,87,0,0,0,0,5,2008,WD,Normal,68500
31,70,C (all),8500,Reg,Lvl,Inside,Gtl,IDOTRR,2Story,4,4,1920,1950,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,TA,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,0,Detchd,1920.0,Unf,1,250,TA,N,0,54,172,0,0,0,0,7,2008,WD,Normal,40000
32,20,RL,8544,IR1,Lvl,CulDSac,Gtl,Sawyer,1Story,5,6,1966,2006,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Gd,6,0,Attchd,1966.0,Unf,1,271,TA,Y,0,65,0,0,0,0,0,6,2008,WD,Normal,149350
33,20,RL,11049,Reg,Lvl,Corner,Gtl,CollgCr,1Story,8,5,2007,2007,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,0,Attchd,2007.0,RFn,2,484,TA,Y,0,30,0,0,0,0,0,1,2008,WD,Normal,179900
34,20,RL,10552,IR1,Lvl,Inside,Gtl,NAmes,1Story,5,5,1959,1959,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,Gd,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,Gd,6,1,Attchd,1959.0,RFn,2,447,TA,Y,0,38,0,0,0,0,0,4,2010,WD,Normal,165500
35,120,RL,7313,Reg,Lvl,Inside,Gtl,NridgHt,1Story,9,5,2005,2005,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,Ex,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,Ex,6,1,Attchd,2005.0,Fin,2,556,TA,Y,203,47,0,0,0,0,0,8,2007,WD,Normal,277500
36,60,RL,13418,Reg,Lvl,Inside,Gtl,NridgHt,2Story,8,5,2004,2005,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,Ex,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,1,BuiltIn,2004.0,Fin,3,691,TA,Y,113,32,0,0,0,0,0,9,2006,WD,Normal,309000
37,20,RL,10859,Reg,Lvl,Corner,Gtl,CollgCr,1Story,5,5,1994,1995,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,Ex,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,TA,6,0,Attchd,1995.0,Unf,2,672,TA,Y,392,64,0,0,0,0,0,6,2009,WD,Normal,145000
38,20,RL,8532,Reg,Lvl,Inside,Gtl,NAmes,1Story,5,6,1954,1990,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,Gd,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,TA,5,1,Attchd,1954.0,Fin,2,498,TA,Y,0,0,0,0,0,0,0,10,2009,WD,Normal,153000
39,20,RL,7922,Reg,Lvl,Inside,Gtl,NAmes,1Story,5,7,1953,2007,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,TA,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Gd,5,0,Detchd,1953.0,Unf,1,246,TA,Y,0,52,0,0,0,0,0,1,2010,WD,Abnorml,109000
40,90,RL,6040,Reg,Lvl,Inside,Gtl,Edwards,1Story,4,5,1955,1955,AsbShng,None,0.0,TA,TA,PConc,,,,,0,,0,0,0,TA,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,Fa,6,0,,,,0,0,,N,0,0,0,0,0,0,0,6,2008,WD,AdjLand,82000
41,20,RL,8658,Reg,Lvl,Inside,Gtl,NAmes,1Story,6,5,1965,1965,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,TA,6,1,Attchd,1965.0,RFn,2,440,TA,Y,0,138,0,0,0,0,0,12,2006,WD,Abnorml,160000
42,20,RL,16905,Reg,Lvl,Inside,Gtl,Timber,1Story,5,6,1959,1959,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,Gd,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,TA,5,2,Attchd,1959.0,RFn,1,308,TA,P,0,104,0,0,0,0,0,7,2007,WD,Normal,170000
43,85,RL,9180,IR1,Lvl,CulDSac,Gtl,SawyerW,SFoyer,5,7,1983,1983,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,Gd,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,Gd,5,0,Attchd,1983.0,RFn,2,504,TA,Y,240,0,0,0,0,0,0,12,2007,WD,Normal,144000
44,20,RL,9200,IR1,Lvl,CulDSac,Gtl,CollgCr,1Story,5,6,1975,1980,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,TA,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,TA,5,0,Detchd,1977.0,Unf,1,308,TA,Y,145,0,0,0,0,0,0,7,2008,WD,Normal,130250
45,20,RL,7945,Reg,Lvl,Inside,Gtl,NAmes,1Story,5,6,1959,1959,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,Ex,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,TA,6,0,Attchd,1959.0,RFn,1,300,TA,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,141000
46,120,RL,7658,Reg,Lvl,Inside,Gtl,NridgHt,1Story,9,5,2005,2005,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,Ex,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,Ex,6,1,Attchd,2005.0,RFn,2,576,TA,Y,196,82,0,0,0,0,0,2,2010,WD,Normal,319900
47,50,RL,12822,IR1,Lvl,CulDSac,Gtl,Mitchel,1.5Fin,7,5,2003,2003,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,Ex,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,Gd,6,1,Attchd,2003.0,RFn,2,670,TA,Y,168,43,0,0,198,0,0,8,2009,WD,Abnorml,239686
48,20,FV,11096,Reg,Lvl,Inside,Gtl,Somerst,1Story,8,5,2006,2006,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,Ex,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,Gd,7,0,Attchd,2006.0,RFn,3,826,TA,Y,0,146,0,0,0,0,0,7,2007,WD,Normal,249700
49,190,RM,4456,Reg,Lvl,Inside,Gtl,OldTown,2Story,4,5,1920,2008,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,736,Gd,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,TA,8,0,,,,0,0,,N,0,0,102,0,0,0,0,6,2009,New,Partial,113000
50,20,RL,7742,Reg,Lvl,Inside,Gtl,Sawyer,1Story,5,7,1966,1966,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,955,Ex,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,TA,6,0,Attchd,1966.0,Unf,1,386,TA,Y,0,0,0,0,0,0,0,1,2007,WD,Normal,127000
51,60,RL,13869,IR2,Lvl,Corner,Gtl,Gilbert,2Story,6,6,1997,1997,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,Gd,Y,SBrkr,794,676,0,1470,0,1,2,0,3,1,TA,6,0,Attchd,1997.0,Fin,2,388,TA,Y,0,75,0,0,0,0,0,7,2007,WD,Normal,177000
52,50,RM,6240,Reg,Lvl,Inside,Gtl,BrkSide,1.5Fin,6,6,1934,1950,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,816,TA,Y,SBrkr,816,0,360,1176,0,0,1,0,3,1,TA,6,1,Detchd,1985.0,Unf,2,528,TA,Y,112,0,0,0,0,0,400,9,2006,WD,Normal,114500
53,90,RM,8472,IR2,Bnk,Corner,Mod,IDOTRR,1Story,5,5,1963,1963,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,TA,N,SBrkr,816,0,0,816,1,0,1,0,2,1,TA,5,0,CarPort,1963.0,Unf,2,516,TA,Y,106,0,0,0,0,0,0,5,2010,WD,Normal,110000
54,20,RL,50271,IR1,Low,Inside,Gtl,Veenker,1Story,9,5,1981,1987,WdShing,None,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,Gd,Y,SBrkr,1842,0,0,1842,2,0,0,1,0,1,Gd,5,1,Attchd,1981.0,Fin,3,894,TA,Y,857,72,0,0,0,0,0,11,2006,WD,Normal,385000
55,80,RL,7134,Reg,Bnk,Inside,Mod,NAmes,SLvl,5,5,1955,1955,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,384,Unf,0,0,384,TA,Y,SBrkr,1360,0,0,1360,0,0,1,0,3,1,TA,6,1,Detchd,1962.0,Unf,2,572,TA,Y,0,50,0,0,0,0,0,2,2007,WD,Normal,130000
56,20,RL,10175,IR1,Lvl,Inside,Gtl,NAmes,1Story,6,5,1964,1964,HdBoard,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,490,Unf,0,935,1425,Gd,Y,SBrkr,1425,0,0,1425,0,0,2,0,3,1,TA,7,1,Attchd,1964.0,RFn,2,576,TA,Y,0,0,0,407,0,0,0,7,2008,WD,Normal,180500
57,160,FV,2645,Reg,Lvl,Inside,Gtl,Somerst,2Story,8,5,1999,2000,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,649,Unf,0,321,970,Ex,Y,SBrkr,983,756,0,1739,1,0,2,1,3,1,Gd,7,0,Attchd,1999.0,Fin,2,480,TA,Y,115,0,0,0,0,0,0,8,2009,WD,Abnorml,172500
58,60,RL,11645,IR1,Lvl,Corner,Gtl,CollgCr,2Story,7,5,2004,2004,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,860,860,Ex,Y,SBrkr,860,860,0,1720,0,0,2,1,3,1,Gd,7,0,Attchd,2004.0,RFn,2,565,TA,Y,0,70,0,0,0,0,0,8,2006,WD,Normal,196500
59,60,RL,13682,IR2,HLS,CulDSac,Gtl,StoneBr,2Story,10,5,2006,2006,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,1410,1410,Ex,Y,SBrkr,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,1,BuiltIn,2006.0,Fin,3,641,TA,Y,192,0,37,0,0,0,0,10,2006,New,Partial,438780
60,20,RL,7200,Reg,Bnk,Inside,Gtl,CollgCr,1Story,5,7,1972,1972,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,632,Unf,0,148,780,Ex,Y,SBrkr,780,0,0,780,0,0,1,0,2,1,TA,4,0,Detchd,1973.0,Unf,1,352,TA,Y,196,0,0,0,0,0,0,1,2008,WD,Normal,124900
61,20,RL,13072,Reg,Lvl,Inside,Gtl,SawyerW,1Story,6,5,2004,2004,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,941,Unf,0,217,1158,Ex,Y,SBrkr,1158,0,0,1158,1,0,1,1,3,1,Gd,5,0,Detchd,2006.0,Unf,2,576,TA,Y,0,50,0,0,0,0,0,5,2006,New,Partial,158000
62,75,RM,7200,Reg,Lvl,Inside,Gtl,IDOTRR,2.5Unf,5,7,1920,1996,MetalSd,None,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,0,530,530,TA,N,SBrkr,581,530,0,1111,0,0,1,0,3,1,Fa,6,0,Detchd,1935.0,Unf,1,288,TA,N,0,0,144,0,0,0,0,3,2007,WD,Normal,101000
63,120,RL,6442,IR1,Lvl,Inside,Gtl,NridgHt,1Story,8,5,2006,2006,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,Gd,Mn,GLQ,24,Unf,0,1346,1370,Ex,Y,SBrkr,1370,0,0,1370,0,0,2,0,2,1,Gd,6,1,Attchd,2006.0,RFn,2,484,TA,Y,120,49,0,0,0,0,0,10,2007,WD,Normal,202500
64,70,RM,10300,IR1,Bnk,Inside,Gtl,OldTown,2Story,7,6,1921,1950,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,576,576,Gd,Y,SBrkr,902,808,0,1710,0,0,2,0,3,1,TA,9,0,Detchd,1990.0,Unf,2,480,TA,Y,12,11,64,0,0,0,0,4,2010,WD,Normal,140000
65,60,RL,9375,Reg,Lvl,Inside,Gtl,CollgCr,2Story,7,5,1997,1998,VinylSd,BrkFace,573.0,TA,TA,PConc,Gd,TA,No,GLQ,739,Unf,0,318,1057,Ex,Y,SBrkr,1057,977,0,2034,1,0,2,1,3,1,Gd,8,0,Attchd,1998.0,RFn,2,645,TA,Y,576,36,0,0,0,0,0,2,2009,WD,Normal,219500
66,60,RL,9591,Reg,Lvl,Inside,Gtl,NridgHt,2Story,8,5,2004,2005,VinylSd,BrkFace,344.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1143,1143,Ex,Y,SBrkr,1143,1330,0,2473,0,0,2,1,4,1,Gd,9,1,BuiltIn,2004.0,RFn,3,852,TA,Y,192,151,0,0,0,0,0,10,2007,WD,Normal,317000
67,20,RL,19900,Reg,Lvl,Inside,Gtl,NAmes,1Story,7,5,1970,1989,Plywood,BrkFace,287.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,912,Unf,0,1035,1947,TA,Y,SBrkr,2207,0,0,2207,1,0,2,0,3,1,TA,7,1,Attchd,1970.0,RFn,2,576,TA,Y,301,0,0,0,0,0,0,7,2010,WD,Normal,180000
